"","V1","V2","V3","V4","V5","V6"
"1",2000,0.01,0.796875,1,0,NA
"2",2000,0.03,0.796875,1,0,NA
"3",2000,0.1,0.796875,1,0,NA
"4",2000,0.3,0.796875,1,0,NA
"5",2000,1,0.859375,1,0.307692307692308,0.511408311956759
"6",2000,3,0.9375,1,0.692307692307692,0.801222841635236
"7",2000,10,0.9375,1,0.692307692307692,0.801222841635236
"8",2000,30,0.9375,1,0.692307692307692,0.801222841635236
"9",2000,100,0.9375,1,0.692307692307692,0.801222841635236
"10",2010,0.01,0.796875,1,0,NA
"11",2010,0.03,0.796875,1,0,NA
"12",2010,0.1,0.796875,1,0,NA
"13",2010,0.3,0.796875,1,0,NA
"14",2010,1,0.859375,1,0.307692307692308,0.511408311956759
"15",2010,3,0.9375,1,0.692307692307692,0.801222841635236
"16",2010,10,0.9375,1,0.692307692307692,0.801222841635236
"17",2010,30,0.9375,1,0.692307692307692,0.801222841635236
"18",2010,100,0.9375,1,0.692307692307692,0.801222841635236
"19",2020,0.01,0.796875,1,0,NA
"20",2020,0.03,0.796875,1,0,NA
"21",2020,0.1,0.796875,1,0,NA
"22",2020,0.3,0.796875,1,0,NA
"23",2020,1,0.859375,1,0.307692307692308,0.511408311956759
"24",2020,3,0.9375,1,0.692307692307692,0.801222841635236
"25",2020,10,0.9375,1,0.692307692307692,0.801222841635236
"26",2020,30,0.9375,1,0.692307692307692,0.801222841635236
"27",2020,100,0.9375,1,0.692307692307692,0.801222841635236
"28",2030,0.01,0.796875,1,0,NA
"29",2030,0.03,0.796875,1,0,NA
"30",2030,0.1,0.796875,1,0,NA
"31",2030,0.3,0.796875,1,0,NA
"32",2030,1,0.859375,1,0.307692307692308,0.511408311956759
"33",2030,3,0.9375,1,0.692307692307692,0.801222841635236
"34",2030,10,0.9375,1,0.692307692307692,0.801222841635236
"35",2030,30,0.9375,1,0.692307692307692,0.801222841635236
"36",2030,100,0.9375,1,0.692307692307692,0.801222841635236
"37",2040,0.01,0.796875,1,0,NA
"38",2040,0.03,0.796875,1,0,NA
"39",2040,0.1,0.796875,1,0,NA
"40",2040,0.3,0.796875,1,0,NA
"41",2040,1,0.859375,1,0.307692307692308,0.511408311956759
"42",2040,3,0.9375,1,0.692307692307692,0.801222841635236
"43",2040,10,0.9375,1,0.692307692307692,0.801222841635236
"44",2040,30,0.9375,1,0.692307692307692,0.801222841635236
"45",2040,100,0.9375,1,0.692307692307692,0.801222841635236
"46",2050,0.01,0.796875,1,0,NA
"47",2050,0.03,0.796875,1,0,NA
"48",2050,0.1,0.796875,1,0,NA
"49",2050,0.3,0.796875,1,0,NA
"50",2050,1,0.859375,1,0.307692307692308,0.511408311956759
"51",2050,3,0.9375,1,0.692307692307692,0.801222841635236
"52",2050,10,0.9375,1,0.692307692307692,0.801222841635236
"53",2050,30,0.9375,1,0.692307692307692,0.801222841635236
"54",2050,100,0.9375,1,0.692307692307692,0.801222841635236
"55",2060,0.01,0.796875,1,0,NA
"56",2060,0.03,0.796875,1,0,NA
"57",2060,0.1,0.796875,1,0,NA
"58",2060,0.3,0.796875,1,0,NA
"59",2060,1,0.859375,1,0.307692307692308,0.511408311956759
"60",2060,3,0.9375,1,0.692307692307692,0.801222841635236
"61",2060,10,0.9375,1,0.692307692307692,0.801222841635236
"62",2060,30,0.9375,1,0.692307692307692,0.801222841635236
"63",2060,100,0.9375,1,0.692307692307692,0.801222841635236
"64",2070,0.01,0.796875,1,0,NA
"65",2070,0.03,0.796875,1,0,NA
"66",2070,0.1,0.796875,1,0,NA
"67",2070,0.3,0.796875,1,0,NA
"68",2070,1,0.859375,1,0.307692307692308,0.511408311956759
"69",2070,3,0.9375,1,0.692307692307692,0.801222841635236
"70",2070,10,0.9375,1,0.692307692307692,0.801222841635236
"71",2070,30,0.9375,1,0.692307692307692,0.801222841635236
"72",2070,100,0.9375,1,0.692307692307692,0.801222841635236
"73",2080,0.01,0.796875,1,0,NA
"74",2080,0.03,0.796875,1,0,NA
"75",2080,0.1,0.796875,1,0,NA
"76",2080,0.3,0.796875,1,0,NA
"77",2080,1,0.859375,1,0.307692307692308,0.511408311956759
"78",2080,3,0.9375,1,0.692307692307692,0.801222841635236
"79",2080,10,0.9375,1,0.692307692307692,0.801222841635236
"80",2080,30,0.9375,1,0.692307692307692,0.801222841635236
"81",2080,100,0.9375,1,0.692307692307692,0.801222841635236
"82",2090,0.01,0.796875,1,0,NA
"83",2090,0.03,0.796875,1,0,NA
"84",2090,0.1,0.796875,1,0,NA
"85",2090,0.3,0.796875,1,0,NA
"86",2090,1,0.859375,1,0.307692307692308,0.511408311956759
"87",2090,3,0.9375,1,0.692307692307692,0.801222841635236
"88",2090,10,0.9375,1,0.692307692307692,0.801222841635236
"89",2090,30,0.9375,1,0.692307692307692,0.801222841635236
"90",2090,100,0.9375,1,0.692307692307692,0.801222841635236
"91",2100,0.01,0.796875,1,0,NA
"92",2100,0.03,0.796875,1,0,NA
"93",2100,0.1,0.796875,1,0,NA
"94",2100,0.3,0.796875,1,0,NA
"95",2100,1,0.859375,1,0.307692307692308,0.511408311956759
"96",2100,3,0.9375,1,0.692307692307692,0.801222841635236
"97",2100,10,0.9375,1,0.692307692307692,0.801222841635236
"98",2100,30,0.9375,1,0.692307692307692,0.801222841635236
"99",2100,100,0.9375,1,0.692307692307692,0.801222841635236
"100",2110,0.01,0.796875,1,0,NA
"101",2110,0.03,0.796875,1,0,NA
"102",2110,0.1,0.796875,1,0,NA
"103",2110,0.3,0.796875,1,0,NA
"104",2110,1,0.859375,1,0.307692307692308,0.511408311956759
"105",2110,3,0.9375,1,0.692307692307692,0.801222841635236
"106",2110,10,0.9375,1,0.692307692307692,0.801222841635236
"107",2110,30,0.9375,1,0.692307692307692,0.801222841635236
"108",2110,100,0.9375,1,0.692307692307692,0.801222841635236
"109",2120,0.01,0.796875,1,0,NA
"110",2120,0.03,0.796875,1,0,NA
"111",2120,0.1,0.796875,1,0,NA
"112",2120,0.3,0.796875,1,0,NA
"113",2120,1,0.859375,1,0.307692307692308,0.511408311956759
"114",2120,3,0.9375,1,0.692307692307692,0.801222841635236
"115",2120,10,0.9375,1,0.692307692307692,0.801222841635236
"116",2120,30,0.9375,1,0.692307692307692,0.801222841635236
"117",2120,100,0.9375,1,0.692307692307692,0.801222841635236
"118",2130,0.01,0.796875,1,0,NA
"119",2130,0.03,0.796875,1,0,NA
"120",2130,0.1,0.796875,1,0,NA
"121",2130,0.3,0.796875,1,0,NA
"122",2130,1,0.859375,1,0.307692307692308,0.511408311956759
"123",2130,3,0.9375,1,0.692307692307692,0.801222841635236
"124",2130,10,0.9375,1,0.692307692307692,0.801222841635236
"125",2130,30,0.9375,1,0.692307692307692,0.801222841635236
"126",2130,100,0.9375,1,0.692307692307692,0.801222841635236
"127",2140,0.01,0.796875,1,0,NA
"128",2140,0.03,0.796875,1,0,NA
"129",2140,0.1,0.796875,1,0,NA
"130",2140,0.3,0.796875,1,0,NA
"131",2140,1,0.859375,1,0.307692307692308,0.511408311956759
"132",2140,3,0.9375,1,0.692307692307692,0.801222841635236
"133",2140,10,0.9375,1,0.692307692307692,0.801222841635236
"134",2140,30,0.9375,1,0.692307692307692,0.801222841635236
"135",2140,100,0.9375,1,0.692307692307692,0.801222841635236
"136",2150,0.01,0.796875,1,0,NA
"137",2150,0.03,0.796875,1,0,NA
"138",2150,0.1,0.796875,1,0,NA
"139",2150,0.3,0.796875,1,0,NA
"140",2150,1,0.859375,1,0.307692307692308,0.511408311956759
"141",2150,3,0.9375,1,0.692307692307692,0.801222841635236
"142",2150,10,0.9375,1,0.692307692307692,0.801222841635236
"143",2150,30,0.9375,1,0.692307692307692,0.801222841635236
"144",2150,100,0.9375,1,0.692307692307692,0.801222841635236
"145",2160,0.01,0.796875,1,0,NA
"146",2160,0.03,0.796875,1,0,NA
"147",2160,0.1,0.796875,1,0,NA
"148",2160,0.3,0.796875,1,0,NA
"149",2160,1,0.859375,1,0.307692307692308,0.511408311956759
"150",2160,3,0.9375,1,0.692307692307692,0.801222841635236
"151",2160,10,0.9375,1,0.692307692307692,0.801222841635236
"152",2160,30,0.9375,1,0.692307692307692,0.801222841635236
"153",2160,100,0.9375,1,0.692307692307692,0.801222841635236
"154",2170,0.01,0.796875,1,0,NA
"155",2170,0.03,0.796875,1,0,NA
"156",2170,0.1,0.796875,1,0,NA
"157",2170,0.3,0.796875,1,0,NA
"158",2170,1,0.859375,1,0.307692307692308,0.511408311956759
"159",2170,3,0.9375,1,0.692307692307692,0.801222841635236
"160",2170,10,0.9375,1,0.692307692307692,0.801222841635236
"161",2170,30,0.9375,1,0.692307692307692,0.801222841635236
"162",2170,100,0.9375,1,0.692307692307692,0.801222841635236
"163",2180,0.01,0.796875,1,0,NA
"164",2180,0.03,0.796875,1,0,NA
"165",2180,0.1,0.796875,1,0,NA
"166",2180,0.3,0.796875,1,0,NA
"167",2180,1,0.859375,1,0.307692307692308,0.511408311956759
"168",2180,3,0.9375,1,0.692307692307692,0.801222841635236
"169",2180,10,0.9375,1,0.692307692307692,0.801222841635236
"170",2180,30,0.9375,1,0.692307692307692,0.801222841635236
"171",2180,100,0.9375,1,0.692307692307692,0.801222841635236
"172",2190,0.01,0.796875,1,0,NA
"173",2190,0.03,0.796875,1,0,NA
"174",2190,0.1,0.796875,1,0,NA
"175",2190,0.3,0.796875,1,0,NA
"176",2190,1,0.859375,1,0.307692307692308,0.511408311956759
"177",2190,3,0.9375,1,0.692307692307692,0.801222841635236
"178",2190,10,0.9375,1,0.692307692307692,0.801222841635236
"179",2190,30,0.9375,1,0.692307692307692,0.801222841635236
"180",2190,100,0.9375,1,0.692307692307692,0.801222841635236
"181",2200,0.01,0.796875,1,0,NA
"182",2200,0.03,0.796875,1,0,NA
"183",2200,0.1,0.796875,1,0,NA
"184",2200,0.3,0.796875,1,0,NA
"185",2200,1,0.859375,1,0.307692307692308,0.511408311956759
"186",2200,3,0.9375,1,0.692307692307692,0.801222841635236
"187",2200,10,0.9375,1,0.692307692307692,0.801222841635236
"188",2200,30,0.9375,1,0.692307692307692,0.801222841635236
"189",2200,100,0.9375,1,0.692307692307692,0.801222841635236
"190",2210,0.01,0.796875,1,0,NA
"191",2210,0.03,0.796875,1,0,NA
"192",2210,0.1,0.796875,1,0,NA
"193",2210,0.3,0.796875,1,0,NA
"194",2210,1,0.859375,1,0.307692307692308,0.511408311956759
"195",2210,3,0.9375,1,0.692307692307692,0.801222841635236
"196",2210,10,0.9375,1,0.692307692307692,0.801222841635236
"197",2210,30,0.9375,1,0.692307692307692,0.801222841635236
"198",2210,100,0.9375,1,0.692307692307692,0.801222841635236
"199",2220,0.01,0.796875,1,0,NA
"200",2220,0.03,0.796875,1,0,NA
"201",2220,0.1,0.796875,1,0,NA
"202",2220,0.3,0.796875,1,0,NA
"203",2220,1,0.859375,1,0.307692307692308,0.511408311956759
"204",2220,3,0.9375,1,0.692307692307692,0.801222841635236
"205",2220,10,0.9375,1,0.692307692307692,0.801222841635236
"206",2220,30,0.9375,1,0.692307692307692,0.801222841635236
"207",2220,100,0.9375,1,0.692307692307692,0.801222841635236
"208",2230,0.01,0.796875,1,0,NA
"209",2230,0.03,0.796875,1,0,NA
"210",2230,0.1,0.796875,1,0,NA
"211",2230,0.3,0.796875,1,0,NA
"212",2230,1,0.859375,1,0.307692307692308,0.511408311956759
"213",2230,3,0.9375,1,0.692307692307692,0.801222841635236
"214",2230,10,0.9375,1,0.692307692307692,0.801222841635236
"215",2230,30,0.9375,1,0.692307692307692,0.801222841635236
"216",2230,100,0.9375,1,0.692307692307692,0.801222841635236
"217",2240,0.01,0.796875,1,0,NA
"218",2240,0.03,0.796875,1,0,NA
"219",2240,0.1,0.796875,1,0,NA
"220",2240,0.3,0.796875,1,0,NA
"221",2240,1,0.859375,1,0.307692307692308,0.511408311956759
"222",2240,3,0.9375,1,0.692307692307692,0.801222841635236
"223",2240,10,0.9375,1,0.692307692307692,0.801222841635236
"224",2240,30,0.9375,1,0.692307692307692,0.801222841635236
"225",2240,100,0.9375,1,0.692307692307692,0.801222841635236
"226",2250,0.01,0.796875,1,0,NA
"227",2250,0.03,0.796875,1,0,NA
"228",2250,0.1,0.796875,1,0,NA
"229",2250,0.3,0.796875,1,0,NA
"230",2250,1,0.859375,1,0.307692307692308,0.511408311956759
"231",2250,3,0.9375,1,0.692307692307692,0.801222841635236
"232",2250,10,0.9375,1,0.692307692307692,0.801222841635236
"233",2250,30,0.9375,1,0.692307692307692,0.801222841635236
"234",2250,100,0.9375,1,0.692307692307692,0.801222841635236
"235",2260,0.01,0.796875,1,0,NA
"236",2260,0.03,0.796875,1,0,NA
"237",2260,0.1,0.796875,1,0,NA
"238",2260,0.3,0.796875,1,0,NA
"239",2260,1,0.859375,1,0.307692307692308,0.511408311956759
"240",2260,3,0.9375,1,0.692307692307692,0.801222841635236
"241",2260,10,0.9375,1,0.692307692307692,0.801222841635236
"242",2260,30,0.9375,1,0.692307692307692,0.801222841635236
"243",2260,100,0.9375,1,0.692307692307692,0.801222841635236
"244",2270,0.01,0.796875,1,0,NA
"245",2270,0.03,0.796875,1,0,NA
"246",2270,0.1,0.796875,1,0,NA
"247",2270,0.3,0.796875,1,0,NA
"248",2270,1,0.859375,1,0.307692307692308,0.511408311956759
"249",2270,3,0.9375,1,0.692307692307692,0.801222841635236
"250",2270,10,0.9375,1,0.692307692307692,0.801222841635236
"251",2270,30,0.9375,1,0.692307692307692,0.801222841635236
"252",2270,100,0.9375,1,0.692307692307692,0.801222841635236
"253",2280,0.01,0.796875,1,0,NA
"254",2280,0.03,0.796875,1,0,NA
"255",2280,0.1,0.796875,1,0,NA
"256",2280,0.3,0.796875,1,0,NA
"257",2280,1,0.859375,1,0.307692307692308,0.511408311956759
"258",2280,3,0.9375,1,0.692307692307692,0.801222841635236
"259",2280,10,0.9375,1,0.692307692307692,0.801222841635236
"260",2280,30,0.9375,1,0.692307692307692,0.801222841635236
"261",2280,100,0.9375,1,0.692307692307692,0.801222841635236
"262",2290,0.01,0.796875,1,0,NA
"263",2290,0.03,0.796875,1,0,NA
"264",2290,0.1,0.796875,1,0,NA
"265",2290,0.3,0.796875,1,0,NA
"266",2290,1,0.859375,1,0.307692307692308,0.511408311956759
"267",2290,3,0.9375,1,0.692307692307692,0.801222841635236
"268",2290,10,0.9375,1,0.692307692307692,0.801222841635236
"269",2290,30,0.9375,1,0.692307692307692,0.801222841635236
"270",2290,100,0.921875,1,0.615384615384615,0.748625113417631
"271",2300,0.01,0.796875,1,0,NA
"272",2300,0.03,0.796875,1,0,NA
"273",2300,0.1,0.796875,1,0,NA
"274",2300,0.3,0.796875,1,0,NA
"275",2300,1,0.859375,1,0.307692307692308,0.511408311956759
"276",2300,3,0.9375,1,0.692307692307692,0.801222841635236
"277",2300,10,0.9375,1,0.692307692307692,0.801222841635236
"278",2300,30,0.9375,1,0.692307692307692,0.801222841635236
"279",2300,100,0.921875,1,0.615384615384615,0.748625113417631
"280",2310,0.01,0.796875,1,0,NA
"281",2310,0.03,0.796875,1,0,NA
"282",2310,0.1,0.796875,1,0,NA
"283",2310,0.3,0.796875,1,0,NA
"284",2310,1,0.859375,1,0.307692307692308,0.511408311956759
"285",2310,3,0.9375,1,0.692307692307692,0.801222841635236
"286",2310,10,0.9375,1,0.692307692307692,0.801222841635236
"287",2310,30,0.9375,1,0.692307692307692,0.801222841635236
"288",2310,100,0.921875,1,0.615384615384615,0.748625113417631
"289",2320,0.01,0.796875,1,0,NA
"290",2320,0.03,0.796875,1,0,NA
"291",2320,0.1,0.796875,1,0,NA
"292",2320,0.3,0.796875,1,0,NA
"293",2320,1,0.859375,1,0.307692307692308,0.511408311956759
"294",2320,3,0.9375,1,0.692307692307692,0.801222841635236
"295",2320,10,0.9375,1,0.692307692307692,0.801222841635236
"296",2320,30,0.9375,1,0.692307692307692,0.801222841635236
"297",2320,100,0.921875,1,0.615384615384615,0.748625113417631
"298",2330,0.01,0.796875,1,0,NA
"299",2330,0.03,0.796875,1,0,NA
"300",2330,0.1,0.796875,1,0,NA
"301",2330,0.3,0.796875,1,0,NA
"302",2330,1,0.859375,1,0.307692307692308,0.511408311956759
"303",2330,3,0.9375,1,0.692307692307692,0.801222841635236
"304",2330,10,0.9375,1,0.692307692307692,0.801222841635236
"305",2330,30,0.9375,1,0.692307692307692,0.801222841635236
"306",2330,100,0.9375,1,0.692307692307692,0.801222841635236
"307",2340,0.01,0.796875,1,0,NA
"308",2340,0.03,0.796875,1,0,NA
"309",2340,0.1,0.796875,1,0,NA
"310",2340,0.3,0.796875,1,0,NA
"311",2340,1,0.859375,1,0.307692307692308,0.511408311956759
"312",2340,3,0.9375,1,0.692307692307692,0.801222841635236
"313",2340,10,0.9375,1,0.692307692307692,0.801222841635236
"314",2340,30,0.9375,1,0.692307692307692,0.801222841635236
"315",2340,100,0.9375,1,0.692307692307692,0.801222841635236
"316",2350,0.01,0.796875,1,0,NA
"317",2350,0.03,0.796875,1,0,NA
"318",2350,0.1,0.796875,1,0,NA
"319",2350,0.3,0.796875,1,0,NA
"320",2350,1,0.859375,1,0.307692307692308,0.511408311956759
"321",2350,3,0.9375,1,0.692307692307692,0.801222841635236
"322",2350,10,0.9375,1,0.692307692307692,0.801222841635236
"323",2350,30,0.9375,1,0.692307692307692,0.801222841635236
"324",2350,100,0.9375,1,0.692307692307692,0.801222841635236
"325",2360,0.01,0.796875,1,0,NA
"326",2360,0.03,0.796875,1,0,NA
"327",2360,0.1,0.796875,1,0,NA
"328",2360,0.3,0.796875,1,0,NA
"329",2360,1,0.859375,1,0.307692307692308,0.511408311956759
"330",2360,3,0.9375,1,0.692307692307692,0.801222841635236
"331",2360,10,0.9375,1,0.692307692307692,0.801222841635236
"332",2360,30,0.9375,1,0.692307692307692,0.801222841635236
"333",2360,100,0.9375,1,0.692307692307692,0.801222841635236
"334",2370,0.01,0.796875,1,0,NA
"335",2370,0.03,0.796875,1,0,NA
"336",2370,0.1,0.796875,1,0,NA
"337",2370,0.3,0.796875,1,0,NA
"338",2370,1,0.859375,1,0.307692307692308,0.511408311956759
"339",2370,3,0.9375,1,0.692307692307692,0.801222841635236
"340",2370,10,0.9375,1,0.692307692307692,0.801222841635236
"341",2370,30,0.9375,1,0.692307692307692,0.801222841635236
"342",2370,100,0.9375,1,0.692307692307692,0.801222841635236
"343",2380,0.01,0.796875,1,0,NA
"344",2380,0.03,0.796875,1,0,NA
"345",2380,0.1,0.796875,1,0,NA
"346",2380,0.3,0.796875,1,0,NA
"347",2380,1,0.859375,1,0.307692307692308,0.511408311956759
"348",2380,3,0.9375,1,0.692307692307692,0.801222841635236
"349",2380,10,0.9375,1,0.692307692307692,0.801222841635236
