nF,Acc,Sn,Sp,MCC
2800,0.9375,1,0.692307692,0.801222842
2750,0.90625,1,0.538461538,0.69410473
2700,0.90625,1,0.538461538,0.69410473
2650,0.921875,1,0.615384615,0.748625113
2600,0.90625,1,0.538461538,0.69410473
2550,0.921875,1,0.615384615,0.748625113
2500,0.921875,1,0.615384615,0.748625113
2450,0.921875,1,0.615384615,0.748625113
2400,0.921875,1,0.615384615,0.748625113
2350,0.921875,1,0.615384615,0.748625113
2300,0.921875,1,0.615384615,0.748625113
2250,0.921875,1,0.615384615,0.748625113
2200,0.90625,1,0.538461538,0.69410473
2150,0.90625,1,0.538461538,0.69410473
2100,0.90625,1,0.538461538,0.69410473
2050,0.90625,1,0.538461538,0.69410473
2000,0.90625,1,0.538461538,0.69410473
1950,0.90625,1,0.538461538,0.69410473
1900,0.90625,1,0.538461538,0.69410473
1850,0.921875,1,0.615384615,0.748625113
1800,0.921875,1,0.615384615,0.748625113
1750,0.921875,1,0.615384615,0.748625113
1700,0.90625,1,0.538461538,0.69410473
1650,0.890625,1,0.461538462,0.63705223
1600,0.890625,1,0.461538462,0.63705223
1550,0.890625,1,0.461538462,0.63705223
1500,0.890625,1,0.461538462,0.63705223
