,nF,Cost,Acc,Sn,Sp,MCC
1,2800,0.3,0.949308756,0.944700461,0.953917051,0.898655681
2,2800,1,0.949308756,0.944700461,0.953917051,0.898655681
3,2800,3,0.949308756,0.944700461,0.953917051,0.898655681
4,2800,10,0.949308756,0.944700461,0.953917051,0.898655681
5,2800,30,0.949308756,0.944700461,0.953917051,0.898655681
6,2800,100,0.949308756,0.944700461,0.953917051,0.898655681
7,2750,0.3,0.949308756,0.944700461,0.953917051,0.898655681
8,2750,1,0.949308756,0.944700461,0.953917051,0.898655681
9,2750,3,0.949308756,0.944700461,0.953917051,0.898655681
10,2750,10,0.949308756,0.944700461,0.953917051,0.898655681
11,2750,30,0.949308756,0.944700461,0.953917051,0.898655681
12,2750,100,0.949308756,0.944700461,0.953917051,0.898655681
13,2700,0.3,0.947004608,0.940092166,0.953917051,0.894094664
14,2700,1,0.947004608,0.940092166,0.953917051,0.894094664
15,2700,3,0.947004608,0.940092166,0.953917051,0.894094664
16,2700,10,0.947004608,0.940092166,0.953917051,0.894094664
17,2700,30,0.947004608,0.940092166,0.953917051,0.894094664
18,2700,100,0.947004608,0.940092166,0.953917051,0.894094664
19,2650,0.3,0.949308756,0.944700461,0.953917051,0.898655681
20,2650,1,0.949308756,0.944700461,0.953917051,0.898655681
21,2650,3,0.949308756,0.944700461,0.953917051,0.898655681
22,2650,10,0.949308756,0.944700461,0.953917051,0.898655681
23,2650,30,0.949308756,0.944700461,0.953917051,0.898655681
24,2650,100,0.949308756,0.944700461,0.953917051,0.898655681
25,2600,0.3,0.947004608,0.940092166,0.953917051,0.894094664
26,2600,1,0.947004608,0.940092166,0.953917051,0.894094664
27,2600,3,0.947004608,0.940092166,0.953917051,0.894094664
28,2600,10,0.947004608,0.940092166,0.953917051,0.894094664
29,2600,30,0.947004608,0.940092166,0.953917051,0.894094664
30,2600,100,0.947004608,0.940092166,0.953917051,0.894094664
31,2550,0.3,0.947004608,0.940092166,0.953917051,0.894094664
32,2550,1,0.947004608,0.940092166,0.953917051,0.894094664
33,2550,3,0.947004608,0.940092166,0.953917051,0.894094664
34,2550,10,0.947004608,0.940092166,0.953917051,0.894094664
35,2550,30,0.947004608,0.940092166,0.953917051,0.894094664
36,2550,100,0.947004608,0.940092166,0.953917051,0.894094664
37,2500,0.3,0.949308756,0.944700461,0.953917051,0.898655681
38,2500,1,0.949308756,0.944700461,0.953917051,0.898655681
39,2500,3,0.949308756,0.944700461,0.953917051,0.898655681
40,2500,10,0.949308756,0.944700461,0.953917051,0.898655681
41,2500,30,0.949308756,0.944700461,0.953917051,0.898655681
42,2500,100,0.949308756,0.944700461,0.953917051,0.898655681
43,2450,0.01,0.944700461,0.935483871,0.953917051,0.889552061
44,2450,0.1,0.944700461,0.935483871,0.953917051,0.889552061
45,2450,1,0.944700461,0.935483871,0.953917051,0.889552061
46,2450,10,0.944700461,0.935483871,0.953917051,0.889552061
