Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.E,Xc1.Q,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda.1,Xc2.lambda.2,Xc2.lambda.3,Xc2.lambda.4,Xc2.lambda.5,Xc2.lambda.6,Xc2.lambda.7,Xc2.lambda.8,Xc2.lambda.9,Xc2.lambda.10,Xc2.lambda.11,Xc2.lambda.12,Xc2.lambda.13,Xc2.lambda.14,Xc2.lambda.15,Xc2.lambda.16,Xc2.lambda.17,Xc2.lambda.18,Xc2.lambda.19,Xc2.lambda.20,Xc2.lambda.21,Xc2.lambda.22,Xc2.lambda.23,Xc2.lambda.24,Xc2.lambda.25,Xc2.lambda.26,Xc2.lambda.27,Xc2.lambda.28,Xc2.lambda.29,Xc2.lambda.30,protection
6.900872,6.407953,1.232299,3.696896,0.739379,5.422114,4.682735,6.407953,1.725218,0.985839,11.583607,3.203976,0.985839,2.464597,8.37963,3.450436,3.696896,1.725218,1.478758,7.393792,0.025951,0.022639,0.022806,0.026019,0.023606,0.025198,0.023701,0.025726,0.02513,0.022634,0.027197,0.024801,0.024959,0.025829,0.023367,0.026122,0.02297,0.027172,0.026671,0.025435,0.026728,0.023927,0.025849,0.024667,0.025086,0.026625,0.024197,0.026509,0.026341,0.025676,Cis-Golgi
34.521806,25.279747,16.58134,26.910699,9.785709,39.142835,19.299592,27.454349,14.678563,23.376971,61.432505,25.279747,14.134913,17.396815,32.890854,44.57934,29.628951,5.16468,8.970233,28.813476,0.024546,0.025651,0.02349,0.023174,0.025439,0.024825,0.023052,0.024328,0.024368,0.024064,0.023954,0.024418,0.024425,0.024689,0.023537,0.024273,0.024154,0.023991,0.024845,0.024365,0.024307,0.02446,0.024191,0.024134,0.023861,0.024435,0.024366,0.024254,0.024067,0.024512,Cis-Golgi
25.110368,17.897815,9.616737,9.082473,2.938447,37.665551,29.918736,13.089447,4.808368,5.0755,31.788657,15.226499,6.945421,2.404184,11.486658,17.09642,11.486658,1.068526,3.739842,11.219526,0.02376,0.023675,0.023863,0.02381,0.024014,0.024757,0.023036,0.026264,0.025103,0.024898,0.023468,0.024958,0.025618,0.022653,0.02478,0.024584,0.023806,0.023877,0.025332,0.024904,0.021206,0.024941,0.025453,0.024933,0.024142,0.025578,0.025179,0.023953,0.025331,0.024993,Cis-Golgi
6.257441,8.082528,7.039621,5.735988,0.78218,12.775609,11.211249,7.300348,0.78218,3.389447,9.646888,5.735988,1.825087,1.825087,4.171627,5.475261,3.389447,0.260727,1.303634,7.561075,0.02378,0.023751,0.025214,0.024565,0.026024,0.025422,0.023213,0.024657,0.024888,0.022495,0.023688,0.023203,0.025092,0.023653,0.023518,0.025765,0.025344,0.025372,0.024582,0.026864,0.021821,0.023144,0.026061,0.024807,0.024856,0.026265,0.02749,0.024773,0.024424,0.024542,Cis-Golgi
18.324928,12.216619,6.362822,10.180516,2.799642,17.052364,8.907951,14.252722,4.072206,6.362822,17.306877,12.216619,3.56318,8.398925,16.034312,15.525286,10.689541,5.090258,3.054155,13.23467,0.025654,0.026115,0.023495,0.024275,0.024664,0.025186,0.023927,0.025968,0.02571,0.024357,0.024121,0.025012,0.024981,0.025165,0.024509,0.025151,0.024805,0.024153,0.024691,0.023939,0.025501,0.024922,0.025225,0.024953,0.024481,0.025305,0.024579,0.025861,0.023584,0.025197,Cis-Golgi
8.059866,3.89097,1.667558,2.501338,1.111706,4.168896,3.335117,8.337792,2.223411,4.446823,21.122407,3.335117,2.223411,8.615719,1.945485,8.615719,5.280602,1.945485,2.223411,6.392307,0.024057,0.023585,0.023994,0.022774,0.024349,0.023479,0.023482,0.025582,0.022983,0.024163,0.024847,0.024071,0.025757,0.024101,0.024969,0.024395,0.024759,0.024813,0.02537,0.023627,0.023287,0.02402,0.023231,0.023802,0.023977,0.024884,0.023144,0.022654,0.024309,0.02361,Cis-Golgi
5.418684,2.838358,1.806228,2.838358,1.03213,3.612456,3.870489,1.806228,1.03213,2.838358,6.450814,3.354424,1.806228,2.838358,1.290163,3.870489,2.580326,0.516065,2.322293,3.354424,0.023652,0.025433,0.022895,0.022704,0.024466,0.024854,0.02316,0.023205,0.02357,0.022895,0.025107,0.023431,0.023392,0.023567,0.025568,0.025077,0.027225,0.027075,0.026284,0.022798,0.026735,0.026352,0.023097,0.024675,0.02645,0.024232,0.024068,0.026798,0.028351,0.024853,Cis-Golgi
4.299792,2.529289,1.770502,2.27636,0.505858,5.058578,1.011716,3.288076,1.264645,3.035147,4.046863,2.529289,2.782218,3.288076,0.758787,2.27636,3.541005,0.252929,1.770502,4.552721,0.024796,0.024938,0.024215,0.022609,0.023375,0.023035,0.022844,0.025813,0.023021,0.024253,0.025194,0.023679,0.025109,0.024657,0.026602,0.02442,0.026498,0.025859,0.028145,0.02352,0.027015,0.025951,0.023472,0.025341,0.023397,0.026955,0.025512,0.025839,0.026569,0.024437,Cis-Golgi
2.86896,4.303439,1.1954,1.67356,0.47816,5.259759,4.064359,3.825279,1.67356,2.86896,6.455159,2.86896,1.43448,2.3908,1.67356,2.62988,3.347119,1.1954,1.67356,4.303439,0.024429,0.023954,0.025081,0.024921,0.026062,0.027275,0.02415,0.026645,0.023112,0.02403,0.025378,0.023956,0.026045,0.025616,0.028828,0.025395,0.025511,0.026539,0.023214,0.026517,0.022527,0.025082,0.023071,0.026571,0.025665,0.026464,0.027348,0.026702,0.025809,0.025021,Cis-Golgi
3.131839,3.37275,1.204554,2.650018,0.722732,4.818214,0.722732,3.613661,1.204554,3.131839,6.98641,4.095482,1.445464,3.37275,1.927286,3.613661,2.409107,0.240911,1.686375,2.409107,0.024092,0.025008,0.022731,0.024693,0.025207,0.023338,0.02645,0.025947,0.025002,0.025869,0.026789,0.023455,0.025997,0.023695,0.025498,0.023911,0.024224,0.026425,0.025684,0.027063,0.025223,0.027132,0.027442,0.023569,0.025299,0.025879,0.02645,0.025488,0.027249,0.02428,Cis-Golgi
